Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
40,SelfIndex_040_WORD_DB1_NONE_Skip_DOCa,WORDCOUNT,DB1,NONE,DOCatat,Skipping,44.24,13.01,11.68,38.33,45.18,0.06,47.68,29.62,49.49,1.671,537.84,92.96,2487.25,0.5333,1.5833,0.7949,0.8807,1.0,14.75,25.04,15.83,29.58,0.08,0.1,36.93,46.81,15.03,31.29,12.07,24.37,0.62,1.51,11.19,20.59
41,SelfIndex_041_WORD_DB1_CODE_Null_TERM,WORDCOUNT,DB1,CODE,TERMatat,Null,73.28,26.85,14.93,123.92,135.43,0.06,141.4,21.03,41.8,1.987,646.02,77.4,5638.5,0.5,1.5,0.7473,0.9367,1.0,23.22,37.73,17.09,32.8,0.09,0.12,126.32,139.31,35.54,67.11,22.79,43.68,0.76,1.84,12.83,23.48
42,SelfIndex_042_WORD_DB1_CODE_Null_DOCa,WORDCOUNT,DB1,CODE,DOCatat,Null,69.45,65.82,23.94,415.39,463.59,0.05,480.04,19.23,27.73,1.442,646.02,77.4,5480.13,0.5,1.5,0.7473,0.9367,1.0,47.34,78.23,24.89,46.09,0.08,0.11,423.44,474.3,70.2,129.07,39.73,75.9,0.94,2.45,18.85,34.64
43,SelfIndex_043_WORD_DB1_CODE_Skip_TERM,WORDCOUNT,DB1,CODE,TERMatat,Skipping,66.47,26.78,15.18,124.33,134.5,0.06,140.22,12.92,9.83,0.76,646.02,77.4,5493.11,0.5,1.5,0.7473,0.9367,1.0,23.37,37.69,18.02,36.01,0.09,0.11,126.11,138.22,35.17,65.8,22.09,42.84,0.77,1.9,12.54,23.24
44,SelfIndex_044_WORD_DB1_CODE_Skip_DOCa,WORDCOUNT,DB1,CODE,DOCatat,Skipping,67.91,13.25,11.13,46.01,49.32,0.05,50.23,42.75,70.83,1.657,646.02,77.4,5415.25,0.5333,1.5833,0.7949,0.8807,1.0,12.92,21.43,14.28,26.09,0.07,0.09,44.12,49.91,17.12,38.96,10.68,21.57,0.61,1.46,10.72,19.43
45,SelfIndex_045_WORD_DB1_CLIB_Null_TERM,WORDCOUNT,DB1,CLIB,TERMatat,Null,71.44,19.08,12.58,82.76,96.17,0.05,100.74,30.6,17.62,0.576,344.45,145.16,2421.44,0.5,1.5,0.7473,0.9367,1.0,15.23,24.23,12.81,24.01,0.07,0.1,88.46,99.15,26.0,50.42,14.27,26.41,0.75,1.87,10.81,20.0
46,SelfIndex_046_WORD_DB1_CLIB_Null_DOCa,WORDCOUNT,DB1,CLIB,DOCatat,Null,74.37,62.56,19.55,356.63,570.47,0.05,714.4,25.9,20.82,0.804,344.45,145.16,2445.38,0.5,1.5,0.7473,0.9367,1.0,40.08,68.04,19.69,35.55,0.09,0.12,440.34,664.19,57.81,106.52,32.26,59.8,0.87,2.25,15.86,28.5
47,SelfIndex_047_WORD_DB1_CLIB_Skip_TERM,WORDCOUNT,DB1,CLIB,TERMatat,Skipping,74.47,57.99,12.74,344.69,541.28,0.05,658.12,21.36,18.64,0.873,344.45,145.16,2385.07,0.5,1.5,0.7473,0.9367,1.0,74.68,256.46,61.37,242.98,0.08,0.1,369.37,617.36,25.97,50.11,14.27,26.34,0.73,1.78,10.8,19.96
48,SelfIndex_048_WORD_DB1_CLIB_Skip_DOCa,WORDCOUNT,DB1,CLIB,DOCatat,Skipping,74.5,9.43,7.92,28.87,34.29,0.05,36.03,59.27,41.58,0.702,344.45,145.16,2345.08,0.5333,1.5833,0.7949,0.8807,1.0,7.61,12.53,10.99,21.08,0.07,0.09,27.95,31.53,13.08,30.77,6.5,12.67,0.64,1.55,9.68,17.97
49,SelfIndex_049_TFID_CUST_NONE_Null_TERM,TFIDF,CUSTOM,NONE,TERMatat,Null,49.04,23.9,14.57,106.42,118.52,0.05,122.08,29.72,22.96,0.773,634.05,78.86,4569.62,0.5,1.5,0.7473,0.9367,1.0,23.12,37.07,15.77,29.65,0.08,0.1,109.3,120.84,30.14,53.02,21.13,39.99,0.7,1.68,11.53,20.91
