Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
58,SelfIndex_058_TFID_CUST_CLIB_Null_DOCa,TFIDF,CUSTOM,CLIB,DOCatat,Null,85.11,57.15,14.59,377.41,420.35,0.05,424.66,20.8,17.5,0.841,269.76,185.35,1861.36,0.5,1.5,0.7473,0.9367,1.0,76.86,261.86,65.14,254.77,0.08,0.1,331.08,423.16,33.56,66.74,15.9,29.91,0.9,2.2,14.11,26.38
59,SelfIndex_059_TFID_CUST_CLIB_Skip_TERM,TFIDF,CUSTOM,CLIB,TERMatat,Skipping,85.1,36.71,14.42,119.52,326.66,0.05,333.61,20.66,16.88,0.817,269.76,185.35,1852.11,0.5,1.5,0.7473,0.9367,1.0,78.02,271.21,66.45,245.5,0.08,0.1,105.95,119.52,32.35,63.49,15.19,28.71,0.89,2.16,13.97,26.3
60,SelfIndex_060_TFID_CUST_CLIB_Skip_DOCa,TFIDF,CUSTOM,CLIB,DOCatat,Skipping,85.3,11.83,8.88,40.1,46.79,0.05,47.97,59.6,39.61,0.665,269.76,185.35,1789.68,0.5333,1.5833,0.7949,0.8807,1.0,8.2,13.64,12.69,25.19,0.07,0.09,37.16,44.69,17.16,41.18,7.09,14.02,1.25,4.11,12.68,23.55
61,SelfIndex_061_TFID_DB1_NONE_Null_TERM,TFIDF,DB1,NONE,TERMatat,Null,49.72,24.37,15.31,106.63,117.99,0.06,121.3,30.37,42.98,1.415,791.15,63.2,4169.12,0.5,1.5,0.7473,0.9367,1.0,25.66,40.25,15.72,29.6,0.08,0.1,109.24,120.14,30.26,53.12,22.03,43.0,0.7,1.7,11.84,20.9
62,SelfIndex_062_TFID_DB1_NONE_Null_DOCa,TFIDF,DB1,NONE,DOCatat,Null,48.91,25.2,14.36,115.4,127.88,0.07,131.84,33.43,40.93,1.224,791.15,63.2,4083.25,0.5,1.5,0.7473,0.9367,1.0,24.65,41.73,16.43,30.66,0.08,0.1,118.24,130.46,30.67,55.28,22.22,42.22,0.72,1.73,11.5,20.41
63,SelfIndex_063_TFID_DB1_NONE_Skip_TERM,TFIDF,DB1,NONE,TERMatat,Skipping,46.28,434.03,15.81,121.73,10325.93,0.07,18022.3,9.82,42.2,4.299,796.56,62.77,4034.88,0.5,1.5,0.7473,0.9367,1.0,23.91,40.33,15.94,30.07,0.1,0.14,118.19,123.65,3029.94,13532.05,21.39,40.79,0.7,1.69,12.11,20.69
64,SelfIndex_064_TFID_DB1_NONE_Skip_DOCa,TFIDF,DB1,NONE,DOCatat,Skipping,48.65,9.01,8.26,22.73,27.35,0.05,27.64,32.47,76.34,2.351,796.56,62.77,4000.88,0.5333,1.5833,0.7949,0.8807,1.0,10.47,18.25,11.79,21.83,0.07,0.09,19.21,26.65,11.31,23.27,9.21,18.51,0.53,1.23,8.78,16.01
65,SelfIndex_065_TFID_DB1_CODE_Null_TERM,TFIDF,DB1,CODE,TERMatat,Null,74.98,27.53,16.05,126.67,137.38,0.06,143.28,19.5,38.39,1.969,740.67,67.51,6727.88,0.5,1.5,0.7473,0.9367,1.0,25.46,39.74,18.7,36.85,0.09,0.11,129.73,141.22,34.99,66.32,23.17,44.31,0.76,1.83,12.4,22.42
66,SelfIndex_066_TFID_DB1_CODE_Null_DOCa,TFIDF,DB1,CODE,DOCatat,Null,74.95,31.62,17.22,143.07,162.34,0.07,168.77,12.05,34.0,2.821,740.67,67.51,6707.38,0.5,1.5,0.7473,0.9367,1.0,33.38,54.4,19.55,36.84,0.11,0.15,149.22,166.52,40.99,78.66,24.78,49.03,0.83,2.06,13.79,25.19
67,SelfIndex_067_TFID_DB1_CODE_Skip_TERM,TFIDF,DB1,CODE,TERMatat,Skipping,74.61,27.72,15.55,126.68,142.08,0.07,151.36,10.86,39.44,3.632,740.67,67.51,6671.13,0.5,1.5,0.7473,0.9367,1.0,25.01,41.7,18.98,36.22,0.09,0.12,130.52,148.12,36.55,71.68,22.54,44.03,0.79,1.92,12.41,22.92
68,SelfIndex_068_TFID_DB1_CODE_Skip_DOCa,TFIDF,DB1,CODE,DOCatat,Skipping,71.49,13.79,11.67,47.42,50.6,0.05,51.63,17.53,59.41,3.389,740.67,67.51,6633.5,0.5333,1.5833,0.7949,0.8807,1.0,13.47,22.62,14.62,26.69,0.08,0.1,45.4,51.03,18.38,41.28,11.62,22.51,0.63,1.52,10.77,18.88
69,SelfIndex_069_TFID_DB1_CLIB_Null_TERM,TFIDF,DB1,CLIB,TERMatat,Null,83.05,22.99,14.23,96.49,116.5,0.06,122.49,21.85,16.09,0.736,375.19,133.27,1442.91,0.5,1.5,0.7473,0.9367,1.0,17.22,27.37,15.26,28.71,0.09,0.11,105.99,120.4,33.2,65.14,15.37,28.95,0.9,2.22,14.09,26.36
70,SelfIndex_070_TFID_DB1_CLIB_Null_DOCa,TFIDF,DB1,CLIB,DOCatat,Null,88.23,23.19,14.56,98.82,117.17,0.05,122.98,26.83,17.89,0.667,375.19,133.27,1512.05,0.5,1.5,0.7473,0.9367,1.0,17.49,27.45,15.15,28.58,0.08,0.1,106.96,120.95,33.13,64.76,15.92,30.02,0.92,2.28,14.25,26.52
71,SelfIndex_071_TFID_DB1_CLIB_Skip_TERM,TFIDF,DB1,CLIB,TERMatat,Skipping,88.69,23.57,14.72,108.91,117.17,0.06,120.65,27.51,16.93,0.616,375.19,133.27,1528.81,0.5,1.5,0.7473,0.9367,1.0,16.73,26.54,14.47,27.76,0.09,0.12,110.35,119.44,32.71,64.04,15.35,29.06,0.9,2.22,16.37,31.29
72,SelfIndex_072_TFID_DB1_CLIB_Skip_DOCa,TFIDF,DB1,CLIB,DOCatat,Skipping,88.41,11.97,8.96,40.75,47.77,0.05,49.23,49.13,37.27,0.759,375.19,133.27,1515.71,0.5333,1.5833,0.7949,0.8807,1.0,8.15,13.71,13.0,26.42,0.07,0.09,38.21,45.27,17.69,42.27,7.2,14.16,0.79,1.95,12.63,23.62
