Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
18,SelfIndex_018_BOOL_DB1_CODE_Null_DOCa,BOOLEAN,DB1,CODE,DOCatat,Null,67.44,30.44,17.07,140.39,155.89,0.06,164.13,13.53,33.47,2.474,642.43,77.83,6262.0,0.2667,0.8056,0.3993,0.4715,1.0,27.52,45.68,19.67,36.84,0.08,0.11,144.44,161.26,40.43,79.03,24.54,49.05,0.78,1.97,13.92,25.75
19,SelfIndex_019_BOOL_DB1_CODE_Skip_TERM,BOOLEAN,DB1,CODE,TERMatat,Skipping,68.2,27.32,15.42,123.87,135.84,0.06,140.25,13.3,40.56,3.05,642.43,77.83,6231.55,0.1667,0.5278,0.2527,0.3082,1.0,23.94,39.59,19.51,37.22,0.08,0.11,127.27,138.71,36.82,67.78,21.85,43.22,0.79,1.87,12.38,23.36
20,SelfIndex_020_BOOL_DB1_CODE_Skip_DOCa,BOOLEAN,DB1,CODE,DOCatat,Skipping,71.02,13.35,10.9,46.38,48.38,0.05,49.3,36.73,62.12,1.691,642.43,77.83,6186.09,0.2667,0.8056,0.3993,0.4715,1.0,12.95,21.77,13.82,25.09,0.08,0.1,44.6,48.87,17.33,39.49,10.83,21.78,0.76,2.23,10.93,19.79
21,SelfIndex_021_BOOL_DB1_CLIB_Null_TERM,BOOLEAN,DB1,CLIB,TERMatat,Null,71.78,18.32,11.88,80.26,93.01,0.05,96.59,28.94,18.99,0.656,330.53,151.27,3265.86,0.2667,0.8056,0.3993,0.4715,1.0,14.65,23.49,11.75,21.44,0.08,0.11,85.8,95.34,24.96,48.04,13.85,25.77,0.69,1.66,10.23,18.91
22,SelfIndex_022_BOOL_DB1_CLIB_Null_DOCa,BOOLEAN,DB1,CLIB,DOCatat,Null,70.3,94.08,13.77,367.75,385.27,0.05,393.05,22.0,18.82,0.856,330.53,151.27,3206.62,0.2667,0.8056,0.3993,0.4715,1.0,74.13,255.64,60.68,230.77,0.07,0.1,373.18,390.34,159.03,291.47,60.26,233.54,0.68,1.64,73.97,266.88
23,SelfIndex_023_BOOL_DB1_CLIB_Skip_TERM,BOOLEAN,DB1,CLIB,TERMatat,Skipping,72.48,18.13,11.83,79.29,92.81,0.05,97.19,32.39,18.55,0.573,330.53,151.27,3125.15,0.2667,0.8056,0.3993,0.4715,1.0,14.74,23.5,11.75,21.42,0.08,0.11,84.97,95.67,24.51,47.0,13.66,25.18,0.69,1.73,10.02,17.98
24,SelfIndex_024_BOOL_DB1_CLIB_Skip_DOCa,BOOLEAN,DB1,CLIB,DOCatat,Skipping,71.49,9.03,7.55,27.69,32.72,0.05,33.41,71.49,44.24,0.619,330.53,151.27,3079.34,0.2667,0.8056,0.3993,0.4715,1.0,7.63,12.5,10.69,19.8,0.07,0.09,26.08,31.27,12.02,28.43,6.16,12.04,0.98,3.18,9.43,17.56
25,SelfIndex_025_WORD_CUST_NONE_Null_TERM,WORDCOUNT,CUSTOM,NONE,TERMatat,Null,44.62,74.68,15.58,115.43,1327.37,0.06,2234.88,48.51,27.5,0.567,389.37,128.41,2905.28,0.5,1.5,0.7473,0.9367,1.0,462.75,1794.17,16.19,30.28,0.09,0.12,112.62,123.11,31.46,55.56,22.13,41.95,0.74,1.78,12.29,22.13
26,SelfIndex_026_WORD_CUST_NONE_Null_DOCa,WORDCOUNT,CUSTOM,NONE,DOCatat,Null,41.06,27.53,16.29,127.29,138.4,0.05,142.51,45.12,26.26,0.582,389.37,128.41,2791.5,0.5,1.5,0.7473,0.9367,1.0,26.54,42.8,17.0,31.98,0.07,0.1,129.57,141.08,34.61,62.63,23.52,45.11,0.74,1.78,13.1,23.59
27,SelfIndex_027_WORD_CUST_NONE_Skip_TERM,WORDCOUNT,CUSTOM,NONE,TERMatat,Skipping,42.39,31.01,18.37,139.02,152.34,0.07,156.58,8.22,31.4,3.82,394.06,126.88,2893.72,0.5,1.5,0.7473,0.9367,1.0,28.52,46.88,20.59,39.48,0.09,0.11,141.76,155.1,40.66,72.21,27.54,52.91,0.82,2.0,14.65,27.72
